priority,name,city,country,plants_pack_id,plants_pack_slug,currently_in_plantspack,current_plants_pack_level,recommended_level,recommended_action,open_status,confidence,category,subcategory,current_address,current_website,current_phone,current_opening_hours_raw,official_source_to_scrape,happycow_or_secondary_source,google_maps_search_url,instagram_search_url,scrape_priority_fields,evidence_summary,include_in_active_100_percent_count,last_checked_by_chatgpt
P1-verify,Natural,Split,Croatia,ad623329-485e-42e4-a01f-50acd2b3ea1e,natural-split,Yes,fully_vegan,100% vegan,Verify seasonal/open status + enrich,Needs live seasonal verification,Medium,eat,,GlagoljaÅ¡ka 2,https://www.natural.hr,+38591 789 86 72,,https://www.natural.hr,https://www.natural.hr,https://www.google.com/maps/search/Natural+Split+Croatia,https://www.instagram.com/explore/search/keyword/?q=Natural+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,No until verified,2026-05-17
P0-remove/close,Nishta,Dubrovnik,Croatia,76e9628a-c208-4825-abe7-ef399316c730,nishta,Yes,fully_vegan,100% vegan,Remove/archive from active 100% vegan layer,Reported closed,High,eat,,Prijeko,https://www.nishtarestaurant.com/,+385 20 322 088,Mo-Sa 11:30-23:30,https://www.nishtarestaurant.com/,https://www.happycow.net/reviews/nishta-dubrovnik-10021,https://www.google.com/maps/search/Nishta+Dubrovnik+Croatia,https://www.instagram.com/explore/search/keyword/?q=Nishta+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",HappyCow reports closed December 2025; merge duplicates and archive unless official/Google proves reopened.,No until verified,2026-05-17
P0-remove/close,Nishta Dubrovnik,Dubrovnik,Croatia,7de4c2f2-aae1-492c-a2a1-9f895699bd91,nishta-dubrovnik-dubrovnik,Yes,fully_vegan,100% vegan,Remove/archive from active 100% vegan layer,Reported closed,High,eat,,"Dubrovnik, Croatia",,,,,https://www.happycow.net/reviews/nishta-dubrovnik-10021,https://www.google.com/maps/search/Nishta+Dubrovnik+Dubrovnik+Croatia,https://www.instagram.com/explore/search/keyword/?q=Nishta+Dubrovnik+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Duplicate of Nishta; HappyCow reports closed December 2025.,No until verified,2026-05-17
P2-enrich,OAZA Joyful Kitchen,Zagreb,Croatia,d3240275-9a46-411e-8700-d92b06a239f5,oaza-joyful-kitchen,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,,,,,Mo-Fr 10:00-21:30; Sa 10:00-21:30,https://joyful-kitchen.com/,https://joyful-kitchen.com/,https://www.google.com/maps/search/OAZA+Joyful+Kitchen+Zagreb+Croatia,https://www.instagram.com/explore/search/keyword/?q=OAZA+Joyful+Kitchen+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P1-verify,OPG Natura škoj,Vodice,Croatia,8755d72b-ed38-47b9-9d0a-49e7daee5e91,opg-natura-skoj-grad-vodice,Yes,fully_vegan,100% vegan store/other only if all products/service are vegan,Verify category and vegan relevance,Needs category verification,Low,store,grocery,"Ulica IX, Grad Vodice, 22234, Hrvatska",https://naturaskoj.com/,+385 95 890 60 74,,https://naturaskoj.com/,https://naturaskoj.com/,https://www.google.com/maps/search/OPG+Natura+%C5%A1koj+Vodice+Croatia,https://www.instagram.com/explore/search/keyword/?q=OPG+Natura+%C5%A1koj+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Olive oil/natural cosmetics/ethnobotanical garden; verify whether this belongs in 100% vegan food/place layer.,No until verified,2026-05-17
P2-enrich,Pandora Greenbox,Split,Croatia,bf6f9298-f680-4577-8a5f-850198172677,pandora-greenbox,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,,4 Obrov,,+385 21 236 120,,https://pandoragreenbox.com/,https://www.happycow.net/reviews/pandora-greenbox-split-165882,https://www.google.com/maps/search/Pandora+Greenbox+Split+Croatia,https://www.instagram.com/explore/search/keyword/?q=Pandora+Greenbox+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P1-verify,Plantae Vegan,Vis,Croatia,40c94ed4-9087-42c0-8838-a39c24fb0006,plantae-vegan-vis,Yes,fully_vegan,100% vegan,Verify seasonal/open status + enrich,Needs live seasonal verification,Medium,eat,,"Vis, Grad Vis, Splitsko-dalmatinska županija",,,,,https://www.happycow.net/europe/croatia/vis/,https://www.google.com/maps/search/Plantae+Vegan+Vis+Croatia,https://www.instagram.com/explore/search/keyword/?q=Plantae+Vegan+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,No until verified,2026-05-17
P2-enrich,Restaurant Artha,Poreč,Croatia,50416bf0-f232-446c-8ecb-9c11b48db14a,restaurant-artha-porec,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,,"Ul. Jože Šuran 10, 52440 Poreč, Croatia",,,,,https://www.happycow.net/reviews/artha-porec-37653,https://www.google.com/maps/search/Restaurant+Artha+Pore%C4%8D+Croatia,https://www.instagram.com/explore/search/keyword/?q=Restaurant+Artha+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P0-remove/close,Shambala,Croatia,Croatia,69c81062-18c2-4fc8-a792-9bb359c3ddfb,shambala-croatia,Yes,fully_vegan,100% vegan,Remove/archive from active 100% vegan layer,Reported closed,High,eat,,"Iločka ulica 34, Croatia",,+385 99 681 2184,Mo-Fr 11:00-19:00; Sa-Su 13:00-18:00,,https://www.happycow.net/reviews/shambala-zagreb-313564,https://www.google.com/maps/search/Shambala++Croatia,https://www.instagram.com/explore/search/keyword/?q=Shambala+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",HappyCow reports closed December 2024; archive from active 100% vegan layer.,No until verified,2026-05-17
P2-enrich,Simple green,Zagreb,Croatia,43bc7fa7-e522-4f2b-986c-67a7aca8d471,simple-green-city-of-zagreb,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,restaurant,7 Zelinska ulica,https://www.simplegreenbyjelena.com/,+385 1 5561679,Mo-Sa 09:00-16:00,https://www.simplegreenbyjelena.com/,https://www.happycow.net/reviews/simple-green-and-bake-zagreb-101469,https://www.google.com/maps/search/Simple+green+Zagreb+Croatia,https://www.instagram.com/explore/search/keyword/?q=Simple+green+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P2-enrich,The Botanist,Zadar,Croatia,6b4321b4-6f09-40a5-9d58-13f0d0c65c93,croatia-the-botanist,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,,"Ulica Mihovila Pavlinovića 4, Zadar, Croatia",,+385-922173614,,https://botanistzadar.com/en/,https://www.happycow.net/reviews/the-botanist-zadar-291232,https://www.google.com/maps/search/The+Botanist+Zadar+Croatia,https://www.instagram.com/explore/search/keyword/?q=The+Botanist+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P0-remove/close,The Green House,Hvar,Croatia,7f9e3dfa-68d3-4713-8e47-ad3caaae1122,the-green-house-hvar,Yes,fully_vegan,100% vegan,Remove/archive from active 100% vegan layer,Reported closed,High,eat,,"Hvar, Splitsko-dalmatinska županija, Hrvatska",,,,,https://www.happycow.net/reviews/green-house-hvar-33612,https://www.google.com/maps/search/The+Green+House+Hvar+Croatia,https://www.instagram.com/explore/search/keyword/?q=The+Green+House+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",HappyCow reports Green House Hvar health store closed August 2021; remove/archive unless this is a different current venue.,No until verified,2026-05-17
P2-enrich,VEG,Split,Croatia,df367b8e-adba-42ef-99f1-afca356ae10e,croatia-veg,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,,"Poljana Tina Ujevica 5, Split, Croatia",https://veg-plant-based.eatbu.com/,+385-98448476,,https://veg-plant-based.eatbu.com/,https://www.happycow.net/reviews/veg-split-187016,https://www.google.com/maps/search/VEG+Split+Croatia,https://www.instagram.com/explore/search/keyword/?q=VEG+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P2-enrich,Vegan Sailing,Split,Croatia,201b9669-56d1-43ae-9aec-c5a4e03c6440,vegan-sailing,Yes,fully_vegan,100% vegan experience/tour,"Keep as vegan experience, not restaurant",Seasonal service,Medium,other,tour,"Split, Croatia (also operates from Krk and Zadar)",https://www.vegansailing.eu,,,https://www.vegansailing.eu,https://www.vegansailing.eu,https://www.google.com/maps/search/Vegan+Sailing+Split+Croatia,https://www.instagram.com/explore/search/keyword/?q=Vegan+Sailing+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links","100% vegan experience/tour, not a restaurant; keep in separate category and exclude from restaurant counts.",No until verified,2026-05-17
P1-verify,Vege Fino Za Sve,Zagreb,Croatia,3eb6fb3e-5782-42e3-95da-c800ca9acdae,croatia-vege-fino-za-sve,Yes,fully_vegan,100% vegan,Keep + enrich,Needs verification,Medium,eat,,"Lavoslava Ruzicke 48, Zagreb, Croatia",,+385-98777577,,,https://www.happycow.net/best-vegan-restaurants/zagreb-croatia,https://www.google.com/maps/search/Vege+Fino+Za+Sve+Zagreb+Croatia,https://www.instagram.com/explore/search/keyword/?q=Vege+Fino+Za+Sve+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P2-enrich,Vegehop,Zagreb,Croatia,b121f2fa-fdb2-428f-a1d0-06079ba760ca,vegehop-grad-zagreb,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,restaurant,"79 Vlaška ulica, Croatia",https://www.vegehop.hr/,+38514649400,Mo 12:00-21:00; Tu 12:00-21:00; We 12:00-21:00; Th 12:00-21:00; Fr 12:00-21:00; Sa 12:00-20:00,https://www.vegehop.hr/,https://www.happycow.net/reviews/vegehop-zagreb-14107,https://www.google.com/maps/search/Vegehop+Zagreb+Croatia,https://www.instagram.com/explore/search/keyword/?q=Vegehop+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P2-enrich,YES rebel bites,Osijek,Croatia,100368b8-7422-4d27-9305-66e18d081b40,croatia-yes-rebel-bites,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,,"19H Ulica Hrvatske Republike, Osijek, Croatia",,+385-31240250,,https://www.instagram.com/yesrebelbites/,https://www.happycow.net/reviews/yes-rebel-bites-osijek-379452,https://www.google.com/maps/search/YES+rebel+bites+Osijek+Croatia,https://www.instagram.com/explore/search/keyword/?q=YES+rebel+bites+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P1-verify,Zelena,Pula,Croatia,e95fbf55-a1b2-46ce-886f-6a221eeaaab7,zelena-pula,Yes,fully_vegan,100% vegan,Keep + enrich,Needs verification,Medium,store,grocery,5 Smareglina,http://www.zdravozelena.hr,052 354 915,Mo-Fr 08:00-20:00; Sa 08:00-14:00,http://www.zdravozelena.hr,https://www.happycow.net/europe/croatia/pula/,https://www.google.com/maps/search/Zelena+Pula+Croatia,https://www.instagram.com/explore/search/keyword/?q=Zelena+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P2-enrich,Zrno bio bistro,Zagreb,Croatia,faeab079-8d8a-40f8-80ff-1f33fc4407a3,zrno-bio-bistro-grad-zagreb,Yes,fully_vegan,100% vegan,Keep + enrich,Open / likely open,High,eat,restaurant,"20 Medulićeva ulica, Croatia",https://zrnobiobistro.hr/,+385 1 4847 540,Mo 12:00-21:30; Tu 12:00-21:30; We 12:00-21:30; Th 12:00-21:30; Fr 12:00-21:30; Sa 12:00-21:30,https://zrnobiobistro.hr/,https://www.happycow.net/reviews/zrno-bio-bistro-zagreb-40259,https://www.google.com/maps/search/Zrno+bio+bistro+Zagreb+Croatia,https://www.instagram.com/explore/search/keyword/?q=Zrno+bio+bistro+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",Existing PlantsPack 100% vegan candidate; verify from official source + HappyCow/Google before publishing as confirmed.,Yes,2026-05-17
P0-add/upgrade,BEKIND,Zagreb,Croatia,9a8bae8e-3400-4163-8018-097a73a19543,bekind,Yes,vegan_friendly,100% vegan,Upgrade to 100% vegan + enrich,Open / likely open,High,eat,,,http://bekind.hr,015534763,Tu-Sa 09:00-22:00; Su 09:00-16:00,https://bekind.menu-world.com/,https://www.happycow.net/reviews/bekind-zagreb-376297,https://www.google.com/maps/search/BEKIND+Zagreb+Croatia,https://www.instagram.com/explore/search/keyword/?q=BEKIND+Croatia+vegan,"open_status, official vegan statement, address, phone, opening_hours, menu, images, social links",HappyCow lists BEKIND as a fully vegan burger joint; PlantsPack currently has it below 100% vegan.,Yes,2026-05-17
P0-add/upgrade,superplanty,Zagreb,Croatia,,,No,,100% vegan,Add to watchlist / import as temporarily closed only if you support temp-closed places,Temporarily closed,High,eat,cafe,"Trg Vladka Mačeka 2, Zagreb, Croatia",,,"HappyCow: Mon-Sat 08:00-20:00, Sun 09:00-15:00; but current Instagram says temporarily closed",https://www.instagram.com/superplanty/,https://www.happycow.net/reviews/superplanty-zagreb-378212,https://www.google.com/maps/search/superplanty+Zagreb+Croatia,https://www.instagram.com/superplanty/,"reopen status, official address, hours, menu, images",HappyCow lists as fully vegan cafe; Instagram currently says temporarily closed.,No until reopened,2026-05-17
