Name,City,Country,Address,Category,Type/Subcategory,Current level,Suggested PlantsPack level,Confidence,Verification level,Is verified,Action,Priority,Reason,Website,Source to scrape,Google Maps search,HappyCow/source search,Phone,Opening hours,Raw opening hours,Hours note,Image scrape source,Main image,Images count,Cuisine types,Description,Latitude,Longitude,Slug,Place ID,Data quality flags,Updated at
Bibliothe,Rome,Italy,via Celsa 4,eat,,Vegan friendly,Vegan friendly,Low,1,False,Add hours / Add image,P2,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,http://www.bibliothe.guru,http://www.bibliothe.guru,https://www.google.com/maps/search/Bibliothe%20via%20Celsa%204%20Rome%20Italy,https://www.google.com/search?q=Bibliothe%20Rome%20Italy%20HappyCow,06678 1427,,,Missing hours,http://www.bibliothe.guru,,0,,Ayurvedic vegetarian cafe,41.8951,12.4789,bibliothe-rome,cbecbe6b-d947-4bff-8a1d-c78f544a6de8,missing hours; missing image; low verification,2026-05-11T08:35:32.871828+00:00
Biosteria,Rome,Italy,"Viale della primavera, 319/b",eat,,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add hours / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Biosteria%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Biosteria%20Viale%20della%20primavera%2C%20319/b%20Rome%20Italy,https://www.google.com/search?q=Biosteria%20Rome%20Italy%20HappyCow,328 842 7516,,,Missing hours,https://www.google.com/maps/search/Biosteria%20Viale%20della%20primavera%2C%20319/b%20Rome%20Italy,,0,,Organic vegetarian bistro,41.8781,12.559,biosteria-rome,b3fa56a1-a3eb-4091-90d7-fb2d088f3cc6,missing website; missing hours; missing image; low verification,2026-05-11T08:35:32.871828+00:00
BiOsteria Saltatempo,Rome,Italy,"Viale della Primavera, Roma, 00172, Italia",eat,restaurant,100% vegan,100% vegan,Medium,2,False,Verify 100% vegan,P0,Marked/indicated as fully vegan; verify against official source if not already verification level 3.,https://www.lsa100celle.org/biosteria-saltatempo/,https://www.lsa100celle.org/biosteria-saltatempo/,https://www.google.com/maps/search/BiOsteria%20Saltatempo%20Viale%20della%20Primavera%2C%20Roma%2C%2000172%2C%20Italia%20Rome%20Italy,https://www.google.com/search?q=BiOsteria%20Saltatempo%20Rome%20Italy%20HappyCow,348 450 5864,"Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 19:30–21:30; Saturday: 09:30–15:00, 19:00–00:00; Sunday: 13:00–15:00","Fr 19:30-21:30; Sa 09:30-15:00,19:00-00:00; Su 13:00-15:00",Unspecified weekdays set to Closed,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/abfb97cc-9d57-47f3-994a-e32fff12ccf3.webp?v=mp28bwj7,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/abfb97cc-9d57-47f3-994a-e32fff12ccf3.webp?v=mp28bwj7,3,,Vegan-focused restaurant in Italy.,41.8784185,12.559157,biosteria-saltatempo-roma,abfb97cc-9d57-47f3-994a-e32fff12ccf3,,2026-05-12T06:08:14.734862+00:00
Blue Ice,Rome,Italy,122 via Sistina,eat,,Vegan options,Vegan options,Low,1,False,Find website/source / Add hours / Add image,P1,Mixed/mainstream venue or meat/cheese/fish-heavy context with vegan items; not vegan-focused.,,https://www.google.com/search?q=Blue%20Ice%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Blue%20Ice%20122%20via%20Sistina%20Rome%20Italy,https://www.google.com/search?q=Blue%20Ice%20Rome%20Italy%20HappyCow,,,,Missing hours,https://www.google.com/maps/search/Blue%20Ice%20122%20via%20Sistina%20Rome%20Italy,,0,,Soy Gelato,41.9044,12.4866,blue-ice-rome,4452f17c-7b60-419c-bf27-3ddcd7b90ba7,missing website; missing phone; missing hours; missing image; low verification,2026-05-11T08:35:32.871828+00:00
Briciole di Pane,Rome,Italy,,eat,,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Fix address / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Briciole%20di%20Pane%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Briciole%20di%20Pane%20Rome%20Italy,https://www.google.com/search?q=Briciole%20di%20Pane%20Rome%20Italy%20HappyCow,,Monday: 08:00–19:30; Tuesday: 08:00–19:30; Wednesday: 08:00–19:30; Thursday: 08:00–19:30; Friday: 08:00–19:30; Saturday: 08:00–19:30; Sunday: 08:00–19:30,Mo-Su 08:00-19:30,Parsed from raw hours,https://www.google.com/maps/search/Briciole%20di%20Pane%20Rome%20Italy,,0,pizza,"This charming café specializes in vegan pizzas, crafted with fresh, organic ingredients and innovative toppings that celebrate the flavors of Italy. With a cozy atmosphere and a commitment to plant-based cuisine, it has become a beloved spot for vegans seeking delicious and creative dishes that delight the senses.",41.7347724,12.2777242,briciole-di-pane,2cedd0b2-e58e-498f-b9a4-a8e77cd15ec4,missing website; missing phone; missing address; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
Buddy Veggy Restaurant Cafè,Rome,Italy,"107 Corso Vittorio Emanuele Secondo, Roma, 00186, Italy",eat,restaurant,100% vegan,100% vegan,High,3,False,Keep / monitor,P3,Marked/indicated as fully vegan; verify against official source if not already verification level 3.,https://buddyroma.com/en/,https://buddyroma.com/en/,https://www.google.com/maps/search/Buddy%20Veggy%20Restaurant%20Caf%C3%A8%20107%20Corso%20Vittorio%20Emanuele%20Secondo%2C%20Roma%2C%2000186%2C%20Italy%20Rome%20Italy,https://www.google.com/search?q=Buddy%20Veggy%20Restaurant%20Caf%C3%A8%20Rome%20Italy%20HappyCow,+3906 8772 8433,Monday: 10:00–23:00; Tuesday: 10:00–23:00; Wednesday: 10:00–23:00; Thursday: 10:00–23:00; Friday: 10:00–23:00; Saturday: 09:00–23:00; Sunday: 09:00–23:00,Mo 10:00-23:00; Tu 10:00-23:00; We 10:00-23:00; Th 10:00-23:00; Fr 10:00-23:00; Sa 09:00-23:00; Su 09:00-23:00,Parsed from raw hours,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/03bac3e3-4720-4ae5-aa03-40808966dffe.webp?v=mp1rv1n4,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/03bac3e3-4720-4ae5-aa03-40808966dffe.webp?v=mp1rv1n4,6,"breakfast, burger, cake, coffee_shop, fine_dining, italian","A 100% plant-based restaurant in central Rome serving breakfast, burgers, and cafe food. The entire menu is vegan.",41.8966454,12.4746436,buddy-veggy-restaurant-cafe-roma,03bac3e3-4720-4ae5-aa03-40808966dffe,,2026-05-11T22:27:14.345042+00:00
Caffè Lido,Rome,Italy,41 Piazzale della Stazione del Lido,eat,,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Caff%C3%A8%20Lido%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Caff%C3%A8%20Lido%2041%20Piazzale%20della%20Stazione%20del%20Lido%20Rome%20Italy,https://www.google.com/search?q=Caff%C3%A8%20Lido%20Rome%20Italy%20HappyCow,,Monday: 05:00–21:30; Tuesday: 05:00–21:30; Wednesday: 05:00–21:30; Thursday: 05:00–21:30; Friday: 05:00–21:30; Saturday: 05:00–21:30; Sunday: Closed,Mo-Sa 05:00-21:30,Unspecified weekdays set to Closed,https://www.google.com/maps/search/Caff%C3%A8%20Lido%2041%20Piazzale%20della%20Stazione%20del%20Lido%20Rome%20Italy,,0,,"This charming café specializes in innovative vegan dishes, showcasing the vibrant flavors of Italian cuisine while using locally sourced ingredients. With a cozy atmosphere filled with greenery, patrons rave about the creative plant-based pasta and indulgent desserts that make it a beloved spot for vegans and food lovers alike.",41.7328956,12.2841582,caffe-lido,3f65c842-fcfc-4cc9-98a8-88243d7ce469,missing website; missing phone; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
Caffé Trastevere,Rome,Italy,50 Viale di Trastevere,eat,,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Caff%C3%A9%20Trastevere%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Caff%C3%A9%20Trastevere%2050%20Viale%20di%20Trastevere%20Rome%20Italy,https://www.google.com/search?q=Caff%C3%A9%20Trastevere%20Rome%20Italy%20HappyCow,+39 06 581 0460,Monday: 05:30–20:00; Tuesday: 05:30–20:00; Wednesday: 05:30–20:00; Thursday: 05:30–20:00; Friday: 05:30–20:00; Saturday: 05:30–20:00; Sunday: 06:00–20:00,Mo-Sa 05:30-20:00; Su 06:00-20:00,Parsed from raw hours,https://www.google.com/maps/search/Caff%C3%A9%20Trastevere%2050%20Viale%20di%20Trastevere%20Rome%20Italy,,0,,"This charming café in the heart of Trastevere delights with its innovative plant-based menu, celebrating Italian flavors through fresh, seasonal ingredients. With a cozy ambiance adorned by local art, Caffé Trastevere is a beloved spot for vegans seeking delicious comfort food, from creamy risottos to decadent desserts.",41.8869297,12.472061,caffe-trastevere,0a6e684c-aeb6-4bd6-b486-d1ad7326da7a,missing website; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
Chiosco Bar,Rome,Italy,85 Viale Mediterraneo,eat,cafe,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Chiosco%20Bar%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Chiosco%20Bar%2085%20Viale%20Mediterraneo%20Rome%20Italy,https://www.google.com/search?q=Chiosco%20Bar%20Rome%20Italy%20HappyCow,+39 06 45650834,Monday: Closed; Tuesday: 08:00–20:00; Wednesday: 08:00–20:00; Thursday: 08:00–20:00; Friday: 08:00–20:00; Saturday: 08:00–20:00; Sunday: 08:00–20:00,Tu-Su 08:00-20:00+,Unspecified weekdays set to Closed,https://www.google.com/maps/search/Chiosco%20Bar%2085%20Viale%20Mediterraneo%20Rome%20Italy,,0,,"Vegan-friendly cafe in Rome, Italy.",41.7228992,12.3079776,chiosco-bar-rome,422f61c0-b232-4ba0-afaf-4ce12ee4b24a,missing website; missing image; low verification,2026-05-11T08:35:32.871828+00:00
Ciao Checca,Rome,Italy,25;26 Piazza di Firenze,eat,restaurant,Vegan friendly,Vegan friendly,Medium,1,False,Keep / monitor,P3,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,https://www.ciaochecca.com/,https://www.ciaochecca.com/,https://www.google.com/maps/search/Ciao%20Checca%2025%3B26%20Piazza%20di%20Firenze%20Rome%20Italy,https://www.google.com/search?q=Ciao%20Checca%20Rome%20Italy%20HappyCow,+39 06 6830 0368,"Monday: 09:00–15:30, 18:30–22:30; Tuesday: 09:00–15:30, 18:30–22:30; Wednesday: 09:00–22:30; Thursday: 09:00–22:30; Friday: 09:00–22:30; Saturday: 09:30–22:30; Sunday: 09:30–22:30","Mo, Tu 09:00-15:30, 18:30-22:30; We-Fr 09:00-22:30; Sa, Su 09:30-22:30",Parsed from raw hours,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/54983c70-637d-4bd5-a485-9f01d0bb4cf8.webp?v=mp1zsuea,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/54983c70-637d-4bd5-a485-9f01d0bb4cf8.webp?v=mp1zsuea,2,,"Vegan-friendly restaurant in Rome, Italy.",41.9021712,12.475824,ciao-checca-rome,54983c70-637d-4bd5-a485-9f01d0bb4cf8,low verification; generic/AI-like description,2026-05-12T02:09:28.580041+00:00
Cinque Porzioni,Rome,Italy,70 Via Collalto Sabino,eat,fast_food,Vegan friendly,Vegan friendly,Medium,1,False,Keep / monitor,P3,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,https://www.cinqueporzioni.it,https://www.cinqueporzioni.it,https://www.google.com/maps/search/Cinque%20Porzioni%2070%20Via%20Collalto%20Sabino%20Rome%20Italy,https://www.google.com/search?q=Cinque%20Porzioni%20Rome%20Italy%20HappyCow,+39 06 3105 2501,Monday: 08:00–19:00; Tuesday: 08:00–19:00; Wednesday: 08:00–19:00; Thursday: 08:00–19:00; Friday: 08:00–19:00; Saturday: 08:00–19:00; Sunday: Closed,Mo-Sa 08:00-19:00,Unspecified weekdays set to Closed,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/918cfea4-a60a-4c54-930d-c8e41508540b.webp?v=mp25qkz8,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/918cfea4-a60a-4c54-930d-c8e41508540b.webp?v=mp25qkz8,2,,"Vegan-friendly fast food spot in Rome, Italy.",41.9308478,12.517267,cinque-porzioni-rome,918cfea4-a60a-4c54-930d-c8e41508540b,low verification,2026-05-12T04:55:40.741012+00:00
Col Cavolo,Rome,Italy,7 Via Cesare Bosi,eat,,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Col%20Cavolo%20Rome%20Italy%20HappyCow,https://www.google.com/maps/search/Col%20Cavolo%207%20Via%20Cesare%20Bosi%20Rome%20Italy,https://www.google.com/search?q=Col%20Cavolo%20Rome%20Italy%20HappyCow,,"Monday: 12:30–15:30, 18:30–22:00; Tuesday: 12:30–15:30; Wednesday: 12:30–15:30; Thursday: 12:30–15:30, 18:30–22:00; Friday: 12:30–15:30, 18:30–22:00; Saturday: Closed; Sunday: Closed","Mo, Th-Fr 12:30-15:30, 18:30-22:00; Tu-We 12:30-15:30",Unspecified weekdays set to Closed,https://www.google.com/maps/search/Col%20Cavolo%207%20Via%20Cesare%20Bosi%20Rome%20Italy,,0,,"This charming vegan-friendly café offers a delightful menu of plant-based Italian cuisine, showcasing fresh, local ingredients in creative dishes. With its cozy ambiance and standout offerings like homemade pasta and decadent desserts, it's a beloved spot for vegans seeking vibrant flavors and a warm, inviting atmosphere.",41.9119504,12.5003186,col-cavolo,dc699b91-0bfd-4a97-b2b3-3184c01c7c2f,missing website; missing phone; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
Colors Vegan Sushi,Rome,Italy,52 Via Festo Avieno,eat,,Mostly vegan,Mostly vegan,Medium,2,False,Add image,P2,"Strong plant-based/vegetarian or mostly vegan signal, but not enough evidence that everything is vegan.",https://colors.superbexperience.com,https://colors.superbexperience.com,https://www.google.com/maps/search/Colors%20Vegan%20Sushi%2052%20Via%20Festo%20Avieno%20Rome%20Italy,https://www.google.com/search?q=Colors%20Vegan%20Sushi%20Rome%20Italy%20HappyCow,+390697848904,Monday: 19:30–23:00; Tuesday: Closed; Wednesday: 19:30–23:00; Thursday: 19:30–23:00; Friday: 19:30–23:00; Saturday: 19:30–23:00; Sunday: 13:00–15:00,We-Mo 19:30-23:00; Su 13:00-15:00,Unspecified weekdays set to Closed,https://colors.superbexperience.com,,0,"fish, japanese, sushi","This innovative café combines traditional Japanese sushi techniques with a vibrant, mostly vegan twist, offering a unique dining experience in the heart of Rome. With a cozy atmosphere and standout dishes like plant-based sushi rolls and flavorful miso soups, it has become a beloved spot for vegans and sushi lovers alike.",41.9212562,12.4419779,colors-vegan-sushi,4542cbd5-9249-4d12-b209-3bd952f6733e,missing image; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
