priority,action_type,record_status,current_id,current_slug,name,city,country,current_level,target_level,action_for_agent,why_this_matters_for_100_percent_layer,current_address,suggested_address,current_website,suggested_website,current_phone,suggested_phone,current_opening_hours,suggested_opening_hours,official_source_to_scrape,happycow_or_secondary_source,google_maps_search,evidence_summary,fields_to_fix,duplicate_or_merge_target,confidence,last_checked_by_agent
P0,VERIFY_OLD_OR_STALE_100,existing,ad623329-485e-42e4-a01f-50acd2b3ea1e,natural-split,Natural,Split,Croatia,fully_vegan,fully_vegan_if_open,Verify whether Natural in Split is currently open and still 100% vegan; fill hours/address image.,Older 100% vegan records with weak verification need live check before claiming superiority.,GlagoljaÅ¡ka 2,,https://www.natural.hr,,+38591 789 86 72,,,,https://www.natural.hr,https://www.google.com/maps/search/Natural%20Split%20vegan%20Croatia,https://www.google.com/maps/search/Natural%20Split%20Croatia,Dataset has low verification_level=1 and missing current hours.,"opening hours, main image",,Medium,2026-05-17
P0,MERGE_DUPLICATE,existing,76e9628a-c208-4825-abe7-ef399316c730,nishta,Nishta,Dubrovnik,Croatia,fully_vegan,fully_vegan,Merge Nishta and Nishta Dubrovnik into one canonical verified 100% vegan record; keep official website/phone/hours.,Duplicate 100% vegan records inflate count and make PlantsPack look less curated.,Prijeko,,https://www.nishtarestaurant.com/,,+385 20 322 088,,Mo-Sa 11:30-23:30,,https://www.nishtarestaurant.com/,https://www.happycow.net/searchmap?s=3&location=Dubrovnik%2C%20Croatia&filters=vegan,https://www.google.com/maps/search/Nishta%20Dubrovnik%20Croatia,Two records represent the same Dubrovnik vegan restaurant.,,Keep the record with official website and address Prijeko; merge HappyCow-only duplicate.,High,2026-05-17
P0,MERGE_DUPLICATE,existing,7de4c2f2-aae1-492c-a2a1-9f895699bd91,nishta-dubrovnik-dubrovnik,Nishta Dubrovnik,Dubrovnik,Croatia,fully_vegan,fully_vegan,Merge Nishta and Nishta Dubrovnik into one canonical verified 100% vegan record; keep official website/phone/hours.,Duplicate 100% vegan records inflate count and make PlantsPack look less curated.,"Dubrovnik, Croatia",,,,,,,,https://www.nishtarestaurant.com/,https://www.happycow.net/searchmap?s=3&location=Dubrovnik%2C%20Croatia&filters=vegan,https://www.google.com/maps/search/Nishta%20Dubrovnik%20Dubrovnik%20Croatia,Two records represent the same Dubrovnik vegan restaurant.,"website, phone, opening hours",Keep the record with official website and address Prijeko; merge HappyCow-only duplicate.,High,2026-05-17
P1,KEEP_ENRICH_100,existing,d3240275-9a46-411e-8700-d92b06a239f5,oaza-joyful-kitchen,OAZA Joyful Kitchen,Zagreb,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.",,,,,,,Mo-Fr 10:00-21:30; Sa 10:00-21:30,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/OAZA%20Joyful%20Kitchen%20Zagreb%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,"website, phone, address",,Medium,2026-05-17
P0,REVIEW_NOT_RESTAURANT,existing,8755d72b-ed38-47b9-9d0a-49e7daee5e91,opg-natura-skoj-grad-vodice,OPG Natura škoj,Vodice,Croatia,fully_vegan,manual_review_or_store_options,Do not count in 100% vegan restaurant layer until confirmed that the public edible offer is fully vegan; likely store/farm/cosmetics/olive oil record.,"To beat HappyCow for 100% vegan places, separate vegan restaurants/cafes from vegan-adjacent stores/farms.","Ulica IX, Grad Vodice, 22234, Hrvatska",,https://naturaskoj.com/,,+385 95 890 60 74,,,,https://naturaskoj.com/,,https://www.google.com/maps/search/OPG%20Natura%20škoj%20Vodice%20Croatia,"Record description says olive oil, natural cosmetics, ethnobotanical garden.","category, vegan scope, edible offer, opening hours",,Medium,2026-05-17
P1,KEEP_ENRICH_100,existing,bf6f9298-f680-4577-8a5f-850198172677,pandora-greenbox,Pandora Greenbox,Split,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.",4 Obrov,,,,+385 21 236 120,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Pandora%20Greenbox%20Split%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,"website, opening hours",,Medium,2026-05-17
P0,VERIFY_SEASONAL_100,existing,40c94ed4-9087-42c0-8838-a39c24fb0006,plantae-vegan-vis,Plantae Vegan,Vis,Croatia,fully_vegan,fully_vegan_if_open,"Verify current 2026 open status, exact location, hours, phone/social; mark seasonal if applicable.",Island/coastal vegan places often operate seasonally; current status is key to being fresher than HappyCow.,"Vis, Grad Vis, Splitsko-dalmatinska županija",,,,,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Plantae%20Vegan%20Vis%20Croatia,Record lacks complete contact/hours and appears sourced from HappyCow or travel lists.,"website, phone, opening hours",,Medium,2026-05-17
P1,KEEP_ENRICH_100,existing,50416bf0-f232-446c-8ecb-9c11b48db14a,restaurant-artha-porec,Restaurant Artha,Poreč,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.","Ul. Jože Šuran 10, 52440 Poreč, Croatia",,,,,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Restaurant%20Artha%20Poreč%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,"website, phone, opening hours",,Medium,2026-05-17
P1,KEEP_ENRICH_100,existing,69c81062-18c2-4fc8-a792-9bb359c3ddfb,shambala-croatia,Shambala,Croatia,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.","Iločka ulica 34, Croatia",,,,+385 99 681 2184,,Mo-Fr 11:00-19:00; Sa-Su 13:00-18:00,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Shambala%20Croatia%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,website,,Medium,2026-05-17
P1,KEEP_ENRICH_100,existing,43bc7fa7-e522-4f2b-986c-67a7aca8d471,simple-green-city-of-zagreb,Simple green,Zagreb,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.",7 Zelinska ulica,,https://www.simplegreenbyjelena.com/,,+385 1 5561679,,Mo-Sa 09:00-16:00,,https://www.simplegreenbyjelena.com/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Simple%20green%20Zagreb%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,,,Medium,2026-05-17
P1,KEEP_ENRICH_100,existing,6b4321b4-6f09-40a5-9d58-13f0d0c65c93,croatia-the-botanist,The Botanist,Zadar,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.","Ulica Mihovila Pavlinovića 4, Zadar, Croatia",,,,+385-922173614,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/The%20Botanist%20Zadar%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,"website, opening hours",,Medium,2026-05-17
P0,VERIFY_SEASONAL_100,existing,7f9e3dfa-68d3-4713-8e47-ad3caaae1122,the-green-house-hvar,The Green House,Hvar,Croatia,fully_vegan,fully_vegan_if_open,"Verify current 2026 open status, exact location, hours, phone/social; mark seasonal if applicable.",Island/coastal vegan places often operate seasonally; current status is key to being fresher than HappyCow.,"Hvar, Splitsko-dalmatinska županija, Hrvatska",,,,,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/The%20Green%20House%20Hvar%20Croatia,Record lacks complete contact/hours and appears sourced from HappyCow or travel lists.,"website, phone, opening hours",,Medium,2026-05-17
P1,KEEP_ENRICH_100,existing,df367b8e-adba-42ef-99f1-afca356ae10e,croatia-veg,VEG,Split,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.","Poljana Tina Ujevica 5, Split, Croatia",,https://veg-plant-based.eatbu.com/,,+385-98448476,,,,https://veg-plant-based.eatbu.com/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/VEG%20Split%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,opening hours,,Medium,2026-05-17
P1,SEPARATE_EXPERIENCE_FROM_RESTAURANTS,existing,201b9669-56d1-43ae-9aec-c5a4e03c6440,vegan-sailing,Vegan Sailing,Split,Croatia,fully_vegan,fully_vegan_service,"Keep as 100% vegan experience/tour, but exclude from 100% vegan restaurant/cafe count and label separately.",It is valuable but not a walk-in food venue; counting it against HappyCow restaurants may look misleading.,"Split, Croatia (also operates from Krk and Zadar)",,https://www.vegansailing.eu,,,,,,https://www.vegansailing.eu,,https://www.google.com/maps/search/Vegan%20Sailing%20Split%20Croatia,Vegan sailing trips with vegan cook/menu onboard; category other/tour.,"opening/season, location coverage, category",,High,2026-05-17
P1,KEEP_ENRICH_100,existing,3eb6fb3e-5782-42e3-95da-c800ca9acdae,croatia-vege-fino-za-sve,Vege Fino Za Sve,Zagreb,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.","Lavoslava Ruzicke 48, Zagreb, Croatia",,,,+385-98777577,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Vege%20Fino%20Za%20Sve%20Zagreb%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,"website, opening hours",,Medium,2026-05-17
P1,KEEP_ENRICH_100,existing,b121f2fa-fdb2-428f-a1d0-06079ba760ca,vegehop-grad-zagreb,Vegehop,Zagreb,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.","79 Vlaška ulica, Croatia",,https://www.vegehop.hr/,,+38514649400,,Mo 12:00-21:00; Tu 12:00-21:00; We 12:00-21:00; Th 12:00-21:00; Fr 12:00-21:00; Sa 12:00-20:00,,https://www.vegehop.hr/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Vegehop%20Zagreb%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,,,Medium,2026-05-17
P1,KEEP_ENRICH_100,existing,100368b8-7422-4d27-9305-66e18d081b40,croatia-yes-rebel-bites,YES rebel bites,Osijek,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.","19H Ulica Hrvatske Republike, Osijek, Croatia",,,,+385-31240250,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/YES%20rebel%20bites%20Osijek%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,"website, opening hours",,Medium,2026-05-17
P1,KEEP_ENRICH_100,existing,e95fbf55-a1b2-46ce-886f-6a221eeaaab7,zelena-pula,Zelena,Pula,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.",5 Smareglina,,http://www.zdravozelena.hr,,052 354 915,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,http://www.zdravozelena.hr,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Zelena%20Pula%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,,,Medium,2026-05-17
P1,KEEP_ENRICH_100,existing,faeab079-8d8a-40f8-80ff-1f33fc4407a3,zrno-bio-bistro-grad-zagreb,Zrno bio bistro,Zagreb,Croatia,fully_vegan,fully_vegan,"Keep in 100% vegan layer, but live-check official/HappyCow/Google and fill missing fields before using in marketing count.","A complete verified record beats HappyCow only if status, address, hours, source and image are current.","20 Medulićeva ulica, Croatia",,https://zrnobiobistro.hr/,,+385 1 4847 540,,Mo 12:00-21:30; Tu 12:00-21:30; We 12:00-21:30; Th 12:00-21:30; Fr 12:00-21:30; Sa 12:00-21:30,,https://zrnobiobistro.hr/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Zrno%20bio%20bistro%20Zagreb%20Croatia,Currently marked fully vegan in PlantsPack dataset; needs completeness/recency check.,,,Medium,2026-05-17
P0,UPGRADE_TO_100_IF_OPEN,existing,9a8bae8e-3400-4163-8018-097a73a19543,bekind,BEKIND,Zagreb,Croatia,vegan_friendly,fully_vegan,"Verify open status, then upgrade to 100% vegan; HappyCow says fully vegan burger joint.",This is a clear HappyCow 100% vegan place that PlantsPack currently under-classifies.,,,http://bekind.hr,,015534763,,Tu-Sa 09:00-22:00; Su 09:00-16:00,,http://bekind.hr,https://www.happycow.net/reviews/bekind-zagreb-376297,https://www.google.com/maps/search/BEKIND%20Zagreb%20Croatia,HappyCow describes BEKIND as a fully vegan burger joint; Tripadvisor also calls it plant/vegan place.,"address, main image",,High,2026-05-17
P0,REMOVE_CLOSED,existing,c950e2a3-8b58-48c8-bc54-d3aaaa064d12,veganko,Veganko,Zagreb,Croatia,vegan_friendly,remove_closed,Remove from active dataset or mark permanently closed; do not upgrade despite plant-based history.,Closed vegan records are worse than missing records when competing with HappyCow.,26/1 Masarykova ulica,,,,+385 91 613 0377;+385 99 539 9909,,Mo-Sa 12:00-20:00,,,https://www.happycow.net/reviews/veganko-zagreb-262536,https://www.google.com/maps/search/Veganko%20Zagreb%20Croatia,HappyCow says VeganKO reported closed May 2023.,"website, main image",,High,2026-05-17
P0,MERGE_OR_RENAME_WITH_VEGE_FINO,existing,875b2549-815f-4516-9191-7845245ac6cf,vegeanddobro,Vege&dobro,Zagreb,Croatia,vegan_friendly,fully_vegan_or_merge,Check whether this is the same venue/concept as Vege Fino Za Sve at Lavoslava Ružičke 48; merge or rename accordingly.,Potential duplicate/misnamed record in 100% vegan layer reduces trust.,48 Ulica Lavoslava Ružičke,,https://www.vege-dobro.com/,,,,,,https://www.vege-dobro.com/,https://www.happycow.net/best-vegan-restaurants/zagreb-croatia,https://www.google.com/maps/search/Vege&dobro%20Zagreb%20Croatia,Same/similar address as Vege Fino Za Sve and overlapping vegan fast-food description.,"phone, opening hours, main image",Potential merge target: Vege Fino Za Sve,Medium,2026-05-17
P1,VERIFY_POTENTIAL_100_OR_MOSTLY,existing,19a3067e-ae68-434c-8208-221fb6fdafa2,soul-kitchen-split,Soul Kitchen,Split,Croatia,vegan_friendly,manual_review,Live-check official/social/HappyCow; upgrade only if entire menu is vegan. Otherwise set Mostly vegan/Vegan friendly.,Dataset descriptions imply vegan strength but current level is not 100%; must resolve to avoid missing true vegan places.,,,https://soulkitchen.restaurant,,+385 99 555 5950,,Mo off; Tu-Su 10:00-22:00,,https://soulkitchen.restaurant,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Soul%20Kitchen%20Split%20Croatia,Appears in Croatia vegan discovery sources but current dataset lacks official proof.,"address, main image",,Low,2026-05-17
P1,VERIFY_POTENTIAL_100_OR_MOSTLY,existing,f2db82a1-0e54-4902-a448-f1e4f13180fb,green-purple-s-vegan-veggie-dubrovnik,Green & Purple's Vegan & Veggie,Dubrovnik,Croatia,vegan_friendly,manual_review,Live-check official/social/HappyCow; upgrade only if entire menu is vegan. Otherwise set Mostly vegan/Vegan friendly.,Dataset descriptions imply vegan strength but current level is not 100%; must resolve to avoid missing true vegan places.,"Grad Dubrovnik, Dubrovačko-neretvanska županija, Hrvatska",,,,,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Green%20&%20Purple's%20Vegan%20&%20Veggie%20Dubrovnik%20Croatia,Appears in Croatia vegan discovery sources but current dataset lacks official proof.,"website, phone, opening hours, main image",,Low,2026-05-17
P1,DO_NOT_UPGRADE_TO_100,existing,6d99855d-37c8-4442-a8ea-2c4b2531043c,urban-veggie-dubrovnik,Urban & Veggie,Dubrovnik,Croatia,vegan_friendly,mostly_vegan_or_vegan_friendly,Keep below 100% vegan; update description to nearly/all vegetarian/vegan but not fully vegan unless owner confirms.,Avoid false 100% vegan claims; this improves accuracy versus HappyCow.,13 Obala Stjepana Radića,,https://urbanveggie.restaurant/,,+385 95 326 2568,,Mo-Fr 09:00-17:00; Sa 09:00-24:00; Su off,,https://urbanveggie.restaurant/,https://www.happycow.net/reviews/urban-veggie-dubrovnik-173233,https://www.google.com/maps/search/Urban%20&%20Veggie%20Dubrovnik%20Croatia,"HappyCow says Urban & Veggie is nearly all vegan; VegeDub shares kitchen with omnivore restaurant and is fully vegetarian, not necessarily vegan.",,,High,2026-05-17
P1,DO_NOT_UPGRADE_TO_100,existing,eafc19b9-a968-4a45-9faa-7e9b972797fa,vegedub,VegeDub,Dubrovnik,Croatia,vegan_friendly,mostly_vegan_or_vegan_friendly,Keep below 100% vegan; update description to nearly/all vegetarian/vegan but not fully vegan unless owner confirms.,Avoid false 100% vegan claims; this improves accuracy versus HappyCow.,Vetranićeva,,https://www.vegedub.com/,,0916151466,,Mo-Su 10:00-00:00,,https://www.vegedub.com/,https://www.happycow.net/reviews/vegedub-dubrovnik-314668,https://www.google.com/maps/search/VegeDub%20Dubrovnik%20Croatia,"HappyCow says Urban & Veggie is nearly all vegan; VegeDub shares kitchen with omnivore restaurant and is fully vegetarian, not necessarily vegan.",main image,,High,2026-05-17
P0,REMOVE_CLOSED,existing,e3ff6a08-a291-44dd-8644-b2db5c15b821,marta-s-veggie-fusion-split,Marta's Veggie Fusion,Split,Croatia,vegan_friendly,remove_closed,Remove/mark closed; do not count toward active vegan layer.,Closed vegan venues should be clearly archived so PlantsPack is fresher than HappyCow.,"Split, Grad Split, Splitsko-dalmatinska županija",,,,,,,,,https://www.happycow.net/reviews/martas-veggie-fusion-split-89393,https://www.google.com/maps/search/Marta's%20Veggie%20Fusion%20Split%20Croatia,HappyCow result marks Marta's Veggie Fusion as CLOSED.,"website, phone, opening hours, main image",,High,2026-05-17
P2,DOWNGRADE_MEAT_HEAVY_NOISE,existing,a9269b53-f95b-480e-8b4b-cee2649c9647,bubalus-burger-bar-trogir,Bubalus Burger Bar,Trogir,Croatia,vegan_friendly,vegan_options,Keep only as Vegan options unless official menu proves unusually strong plant-based offer.,"To make the 100% vegan layer trusted, prevent meat-heavy venues from appearing vegan-forward.",12 Ribarska Ulica,,https://bubalus-burger-bar.eatbu.hr/,,+385992991984,,Mo-Su 13:00-23:30,,https://bubalus-burger-bar.eatbu.hr/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Bubalus%20Burger%20Bar%20Trogir%20Croatia,Burger/fish/seafood/kebab/grill concepts should not be Vegan friendly under PlantsPack rules.,,,High,2026-05-17
P2,DOWNGRADE_MEAT_HEAVY_NOISE,existing,64f4ffa5-70c3-4bc8-a89d-a1d7129cb544,fish-house-zadar-zadar,Fish House Zadar,Zadar,Croatia,vegan_friendly,vegan_options,Keep only as Vegan options unless official menu proves unusually strong plant-based offer.,"To make the 100% vegan layer trusted, prevent meat-heavy venues from appearing vegan-forward.",2 Šime Ljubavca,,,,+385916055370,,Mo-Su 12:00-22:30,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Fish%20House%20Zadar%20Zadar%20Croatia,Burger/fish/seafood/kebab/grill concepts should not be Vegan friendly under PlantsPack rules.,"website, main image",,High,2026-05-17
P2,DOWNGRADE_MEAT_HEAVY_NOISE,existing,45128608-8443-4338-b559-4a32dd87c925,kebab-factory-hvar,Kebab Factory,Hvar,Croatia,vegan_friendly,vegan_options,Keep only as Vegan options unless official menu proves unusually strong plant-based offer.,"To make the 100% vegan layer trusted, prevent meat-heavy venues from appearing vegan-forward.","Hvar, Splitsko-dalmatinska županija, Hrvatska",,,,,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Kebab%20Factory%20Hvar%20Croatia,Burger/fish/seafood/kebab/grill concepts should not be Vegan friendly under PlantsPack rules.,"website, phone, opening hours, main image",,High,2026-05-17
